"Comment","Author","PublishedAt","LikeCount"
"Degeneracy - Fall of Rome. Fall of West European culture. Threesomes, drag queens , mockery of European Culture... Is this what we have become? I am disgousted , offended and I feel sorry for all the athletes that worked hard and became part od this circous. Terrible. Just terrible.","@aaoo345","2024-07-28T07:01:15Z","4"
"Это полный п@здец😡.... люди, что с вами не так?....вы катитесь ко дну...... ядерку туда","@seristoun4725","2024-07-28T07:00:14Z","0"
"Such a dark and diabolic ceremony! Bleah!","@isusestecalea921","2024-07-28T06:59:08Z","1"
"Sick promotion off all kind deviations. 🤮🤮","@marcinm4663","2024-07-28T06:58:30Z","0"
"garbage country fr. garbage opening ceremoni of all time","@tuerkia7411","2024-07-28T06:57:09Z","1"
"I’m glad that France reminded us of the French Revolution. They have every right to show their culture and history at the Olympics, every other country does it.","@unanimus7676","2024-07-28T06:55:54Z","2"
"Rain or shine, no dull moments, kudos to the organizers… 🙌🏼","@just_jayc","2024-07-28T06:52:46Z","3"
"France... But... Why?! 😂","@dwi5280","2024-07-28T06:52:14Z","0"
"It was a picture of the decline of Western civilization, following the pattern of the Roman Empire. Even the flag was upside-down.","@odelays","2024-07-28T06:51:15Z","1"
"This is not about sport, is about Lgtb!😢","@isusestecalea921","2024-07-28T06:51:07Z","4"
"I wonder if the boats were powered by electric or fossil fuels source 😂 where are the climate activists?","@agnieszkasokolowska9983","2024-07-28T06:49:56Z","0"
"Dramat...","@A...to_Ffszystko_co...","2024-07-28T06:49:51Z","0"
"Are we only honoring women nowadays and building golden statues to them?","@lan_real","2024-07-28T06:49:36Z","0"
"Let’s all say hi to all Russian bots who are commenting this Olympic not realizing their government actions prevented their team to compete.","@tilenjeraj2684","2024-07-28T06:48:44Z","0"
"The boat crossing of the athletes on the Seine River was very beautiful. The other shows had almost nothing to do with the Olympics or sports. After all, this is an Olympics, a sports event, not a fashion show. A lot of money and time wasted.","@arun1959","2024-07-28T06:46:51Z","0"
"Satanism✅️<br>LGBT agenda ✅️<br>Obesity agenda✅️<br>Olympics ❌️","@alexshadows1649","2024-07-28T06:45:59Z","2"
"Take a lissten music on Olympics game in Sochi 2014.<br>Big difference","@SP-mb7eq","2024-07-28T06:45:00Z","1"
"Welcome Satan to Paris 2024","@Isor647","2024-07-28T06:44:24Z","1"
"This is anti-human show!","@user-wx5zm9ub4c","2024-07-28T06:42:49Z","3"
"Why is everything pink?","@lan_real","2024-07-28T06:39:02Z","0"
"🤑🤢absolutly 👎","@menx6811","2024-07-28T06:38:32Z","1"
"Disrespectful. Just Disrespectful and poor taste","@mmihaitza","2024-07-28T06:37:49Z","1"
"Weather warming example in Paris 😂","@agnieszkasokolowska9983","2024-07-28T06:37:45Z","0"
"France...you lost me forever....what a shame...Huysmans was right about french elite... Des Esseintes even didn´t notice that he was gone insane.","@2011BIRR","2024-07-28T06:37:01Z","1"
"Magnifique show but unfortunately you ruined it with drag queen/gay scenes","@aitmohandfatima3357","2024-07-28T06:36:58Z","1"
"Even for me, an open minded, non-practicing Christian this is a totally disrespectful, disgusting pile of garbage and a freak show.<br><br>This lgbt propaganda couldn&#39;t be pushed any further.<br>People wanted to watch a sports related event and got another Netflix show.<br><br>I thank God I&#39;ve left this rotting clown world and moved to a normal country.","@lukaszl2569","2024-07-28T06:35:41Z","1"
